timestamp,context_used,cache_tokens,input_tokens
2026-01-20 15:04:40,51.2%,102526,12
2026-01-20 15:06:29,52.1%,104273,12
2026-01-20 15:08:10,53.8%,107676,8
2026-01-20 15:15:42,29.4%,58808,10
2026-01-20 15:21:15,32.2%,64531,9
2026-01-20 15:32:24,32.3%,64701,13
2026-01-20 15:36:21,41.2%,82517,12
2026-01-20 15:38:40,41.0%,82108,11
2026-01-20 15:42:39,43.8%,87756,12
2026-01-20 15:43:57,45.2%,90426,14
2026-01-20 15:49:38,50.5%,101125,14
2026-01-20 15:53:05,54.4%,108789,14
2026-01-20 15:54:04,19.7%,39513,13
2026-01-20 15:56:32,22.1%,44231,11
2026-01-20 15:58:40,45.2%,85148,5398
2026-01-20 16:19:47,25.5%,51133,9
2026-01-20 16:34:47,27.2%,54404,11
2026-01-20 17:18:36,28.2%,56442,12
2026-01-20 17:38:20,32.2%,64452,10
2026-01-20 18:13:55,31.8%,63745,11
2026-01-20 18:25:05,34.2%,68505,9
2026-01-20 19:02:18,43.4%,86267,630
2026-01-20 19:02:36,44.0%,88008,10
2026-01-20 19:40:38,45.1%,90368,10
2026-01-20 19:41:02,45.8%,91633,10
2026-01-20 19:54:23,45.8%,91737,10
2026-01-20 20:19:46,47.5%,94990,10
2026-01-20 20:20:18,47.8%,95654,10
2026-01-20 20:33:04,35.5%,71115,7
2026-01-20 20:51:53,31.7%,63547,13
2026-01-20 20:54:00,31.8%,63730,13
2026-01-20 20:57:15,38.6%,77225,10
2026-01-20 21:01:32,43.5%,87184,9
2026-01-20 21:05:25,45.8%,91739,12
2026-01-20 21:08:07,49.0%,98105,13
2026-01-20 21:16:22,52.0%,104120,14
2026-01-20 21:20:23,56.3%,112703,11
2026-01-20 21:21:53,57.5%,115143,14
2026-01-20 21:23:43,0%,0,0
2026-01-21 16:02:08,25.8%,51679,8
2026-01-21 16:05:38,26.0%,52169,10
2026-01-21 16:06:01,27.2%,54485,8
2026-01-21 16:10:01,36.7%,73542,8
2026-01-21 17:19:51,20.0%,40117,7
2026-01-21 17:25:44,26.4%,52825,6
2026-01-21 17:30:10,27.1%,54260,6
2026-01-21 17:33:06,19.1%,38296,13
2026-01-21 17:39:21,23.3%,46702,11
2026-01-21 17:51:12,32.7%,65396,9
2026-01-21 18:06:46,23.6%,47346,9
2026-01-21 18:09:45,30.5%,61119,11
2026-01-21 18:13:51,31.4%,62886,12
2026-01-21 18:25:18,36.3%,72643,10
2026-01-21 19:12:39,21.2%,42569,8
2026-01-21 20:50:04,22.3%,41270,3498
2026-01-21 20:52:35,24.4%,48884,8
2026-01-21 20:54:43,25.0%,50147,8
2026-01-21 20:56:40,26.1%,51904,464
2026-01-21 20:59:57,28.9%,57835,8
2026-01-21 21:06:26,30.4%,60872,8
2026-01-21 21:08:09,31.5%,63186,8
2026-01-21 21:10:01,32.2%,64399,8
