timestamp,agent_type,agent_id,input_tokens,output_tokens,cache_read,cache_create,total_tokens,cost_usd
2026-01-20 13:21:06,unknown,a478b7c,0,0,0,0,0,0
2026-01-20 13:22:21,unknown,a9f3ca5,0,0,0,0,0,0
2026-01-20 13:29:38,unknown,a5ce6af,0,0,0,0,0,0
2026-01-20 13:33:30,unknown,a502207,0,0,0,0,0,0
2026-01-20 13:34:12,unknown,a1f109f,0,0,0,0,0,0
2026-01-20 13:40:31,unknown,a9bc94e,0,0,0,0,0,0
2026-01-20 13:45:48,unknown,a1b7bf4,0,0,0,0,0,0
2026-01-20 14:28:00,unknown,acef387,0,0,0,0,0,0
2026-01-20 14:30:02,unknown,ae3e9a0,0,0,0,0,0,0
2026-01-20 14:35:40,unknown,a70a148,0,0,0,0,0,0
2026-01-20 14:42:38,unknown,a3404eb,0,0,0,0,0,0
2026-01-20 14:45:49,unknown,aa55090,0,0,0,0,0,0
2026-01-20 14:47:16,unknown,a205ead,0,0,0,0,0,0
2026-01-20 14:57:53,unknown,a5ec89b,0,0,0,0,0,0
2026-01-20 15:00:59,unknown,a3d7424,0,0,0,0,0,0
2026-01-20 15:05:04,unknown,a8c0dd1,0,0,0,0,0,0
2026-01-20 15:06:41,unknown,a69a335,0,0,0,0,0,0
2026-01-20 15:08:34,unknown,a7893ea,0,0,0,0,0,0
2026-01-20 15:15:29,unknown,a285f3d,0,0,0,0,0,0
2026-01-20 15:16:10,unknown,a34948a,0,0,0,0,0,0
2026-01-20 15:21:26,unknown,abcb828,0,0,0,0,0,0
2026-01-20 15:31:22,unknown,afd91df,0,0,0,0,0,0
2026-01-20 15:32:49,unknown,ab6fa3c,0,0,0,0,0,0
2026-01-20 15:36:48,unknown,abec27b,0,0,0,0,0,0
2026-01-20 15:39:05,unknown,a342c5f,0,0,0,0,0,0
2026-01-20 15:43:03,unknown,a725864,0,0,0,0,0,0
2026-01-20 15:44:20,unknown,a3dd642,0,0,0,0,0,0
2026-01-20 15:50:03,unknown,afc8c5e,0,0,0,0,0,0
2026-01-20 15:54:20,unknown,a09878f,0,0,0,0,0,0
2026-01-20 15:56:41,unknown,a170f9f,0,0,0,0,0,0
2026-01-20 15:59:10,unknown,ab1301f,0,0,0,0,0,0
2026-01-20 16:19:37,unknown,addeaf5,0,0,0,0,0,0
2026-01-20 16:25:09,unknown,addeaf5,0,0,0,0,0,0
2026-01-20 16:34:36,unknown,a949b6a,0,0,0,0,0,0
2026-01-20 17:18:27,unknown,a705583,0,0,0,0,0,0
2026-01-20 17:30:06,unknown,a2394c3,0,0,0,0,0,0
2026-01-20 17:34:20,unknown,ad9dfe2,0,0,0,0,0,0
2026-01-20 17:36:10,unknown,a332e43,0,0,0,0,0,0
2026-01-20 17:38:08,unknown,ab6158b,0,0,0,0,0,0
2026-01-20 17:38:30,unknown,afe1491,0,0,0,0,0,0
2026-01-20 18:13:49,unknown,a7ad4c5,0,0,0,0,0,0
2026-01-20 18:14:20,unknown,add151f,0,0,0,0,0,0
2026-01-20 18:17:19,unknown,a55b919,0,0,0,0,0,0
2026-01-20 18:19:19,unknown,a3fee55,0,0,0,0,0,0
2026-01-20 18:22:40,unknown,ad981ac,0,0,0,0,0,0
2026-01-20 18:24:49,unknown,a8c4225,0,0,0,0,0,0
2026-01-20 18:25:28,unknown,a60277e,0,0,0,0,0,0
2026-01-20 18:53:15,unknown,ae77c5b,0,0,0,0,0,0
2026-01-20 19:01:57,unknown,a9f9d90,0,0,0,0,0,0
2026-01-20 19:10:46,unknown,ab622e9,0,0,0,0,0,0
2026-01-20 19:17:12,unknown,accf529,0,0,0,0,0,0
2026-01-20 19:40:07,unknown,a10aba5,0,0,0,0,0,0
2026-01-20 19:40:55,unknown,a6cf0f4,0,0,0,0,0,0
2026-01-20 20:01:09,unknown,a0b185d,0,0,0,0,0,0
2026-01-20 20:14:00,unknown,a95104f,0,0,0,0,0,0
2026-01-20 20:19:10,unknown,a2173cb,0,0,0,0,0,0
2026-01-20 20:19:40,unknown,a65cf0e,0,0,0,0,0,0
2026-01-20 20:20:05,unknown,ac47f1b,0,0,0,0,0,0
2026-01-20 20:25:32,unknown,aab4953,0,0,0,0,0,0
2026-01-20 20:27:57,unknown,a346e17,0,0,0,0,0,0
2026-01-20 20:30:42,unknown,ac1a0b3,0,0,0,0,0,0
2026-01-20 20:32:50,unknown,a4a59e6,0,0,0,0,0,0
2026-01-20 20:33:30,unknown,a5c7070,0,0,0,0,0,0
2026-01-20 20:47:31,unknown,a1469ff,0,0,0,0,0,0
2026-01-20 20:51:33,unknown,aa3d750,0,0,0,0,0,0
2026-01-20 20:57:42,unknown,a287d62,0,0,0,0,0,0
2026-01-20 21:01:54,unknown,a8a47e9,0,0,0,0,0,0
2026-01-20 21:05:49,unknown,a9acacb,0,0,0,0,0,0
2026-01-20 21:08:17,unknown,a5927f5,0,0,0,0,0,0
2026-01-20 21:14:57,unknown,a96916d,0,0,0,0,0,0
2026-01-20 21:16:58,unknown,aa881cd,0,0,0,0,0,0
2026-01-20 21:20:49,unknown,a2dbdbe,0,0,0,0,0,0
2026-01-20 21:22:36,unknown,ae995fe,0,0,0,0,0,0
2026-01-21 16:02:15,unknown,acb2158,0,0,0,0,0,0
2026-01-21 16:05:41,unknown,a89218f,0,0,0,0,0,0
2026-01-21 16:06:14,unknown,a48fae0,0,0,0,0,0,0
2026-01-21 16:10:10,unknown,a5c04e9,0,0,0,0,0,0
2026-01-21 17:20:00,unknown,a4d7b76,0,0,0,0,0,0
2026-01-21 17:25:58,unknown,a97fd9f,0,0,0,0,0,0
2026-01-21 17:30:18,unknown,a74ad66,0,0,0,0,0,0
2026-01-21 17:32:44,unknown,aa522f5,0,0,0,0,0,0
2026-01-21 17:33:17,unknown,aa582c4,0,0,0,0,0,0
2026-01-21 17:39:08,unknown,a05376c,0,0,0,0,0,0
2026-01-21 17:39:31,unknown,a70fa4b,0,0,0,0,0,0
2026-01-21 18:06:34,unknown,ac35c21,0,0,0,0,0,0
2026-01-21 18:10:13,unknown,a7c58e4,0,0,0,0,0,0
2026-01-21 18:23:33,unknown,a6bd6b5,0,0,0,0,0,0
2026-01-21 18:25:06,unknown,a6628c0,0,0,0,0,0,0
2026-01-21 18:25:43,unknown,aacc229,0,0,0,0,0,0
2026-01-21 18:34:04,unknown,a18c5e7,0,0,0,0,0,0
2026-01-21 19:12:43,unknown,a62f2a6,0,0,0,0,0,0
2026-01-21 20:50:11,unknown,acc545e,0,0,0,0,0,0
2026-01-21 20:52:43,unknown,ae9a63e,0,0,0,0,0,0
2026-01-21 20:54:55,unknown,a7e16b7,0,0,0,0,0,0
2026-01-21 20:56:50,unknown,a95b62c,0,0,0,0,0,0
2026-01-21 21:00:07,unknown,a911351,0,0,0,0,0,0
2026-01-21 21:06:45,unknown,a654513,0,0,0,0,0,0
2026-01-21 21:08:18,unknown,afa6a9b,0,0,0,0,0,0
2026-01-21 21:10:10,unknown,a3d63ef,0,0,0,0,0,0
